Secchi Depth (cm) = 0355
Forel Ule Scale = 18
pH Colour Scale = 99
SensingSecchi S/N = A012
Latitude (degs N) = 56.44830
Longitude (degs E) = -5.24634
Date = 2026-06-01
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, Temp (deg C) 10KTHERM, Temp (deg C) TMP117, ED 405nm, ED 425nm, ED 450nm, ED 475nm, ED 515nm, ED 550nm, ED 555nm, ED 600nm, ED 640nm, ED 690nm, ED 745nm, ED Clear, ED NIR 855nm, ED D-SAT, ED GAINS, EU 405nm, EU 425nm, EU 450nm, EU 475nm, EU 515nm, EU 550nm, EU 555nm, EU 600nm, EU 640nm, EU 690nm, EU 745nm, EU Clear, EU NIR 855nm, EU D-SAT, EU GAINS
11:09:18, 991.90, 15.18, 15.07, 14.852, 931, 1171, 1851, 1803, 2225, 2770, 2755, 2451, 2425, 1288, 772, 4896, 3261, 0, 4, 22, 31, 53, 51, 63, 87, 82, 73, 72, 47, 21, 146, 127, 0, 4
11:09:18, 992.00, 15.20, 15.13, 14.852, 931, 1170, 1849, 1804, 2227, 2769, 2753, 2449, 2423, 1288, 771, 4896, 3262, 0, 4, 22, 31, 53, 51, 63, 87, 82, 73, 72, 47, 21, 146, 126, 0, 4
11:09:19, 992.00, 15.20, 15.11, 14.852, 932, 1171, 1849, 1804, 2228, 2771, 2753, 2449, 2423, 1288, 772, 4899, 3264, 0, 4, 22, 31, 53, 51, 63, 87, 82, 73, 72, 48, 22, 146, 126, 0, 4
11:09:19, 992.00, 15.20, 15.09, 14.867, 933, 1171, 1850, 1805, 2228, 2774, 2755, 2451, 2425, 1289, 773, 4901, 3267, 0, 4, 22, 31, 53, 51, 63, 87, 82, 73, 72, 48, 22, 146, 127, 0, 4
11:09:19, 991.80, 15.21, 15.09, 14.867, 935, 1175, 1853, 1809, 2232, 2781, 2759, 2455, 2432, 1292, 775, 4908, 3270, 0, 4, 22, 31, 53, 51, 63, 87, 82, 73, 72, 48, 22, 146, 127, 0, 4
11:09:20, 991.60, 15.21, 15.11, 14.867, 936, 1177, 1857, 1810, 2234, 2781, 2765, 2460, 2437, 1293, 776, 4908, 3275, 0, 4, 22, 31, 53, 51, 63, 87, 82, 73, 72, 47, 21, 146, 127, 0, 4
11:09:20, 991.80, 15.21, 15.11, 14.867, 934, 1176, 1857, 1808, 2230, 2775, 2764, 2459, 2437, 1290, 774, 4897, 3272, 0, 4, 21, 31, 53, 50, 62, 85, 81, 72, 71, 46, 21, 144, 126, 0, 4
11:09:20, 991.80, 15.21, 15.13, 14.867, 927, 1170, 1844, 1805, 2215, 2760, 2748, 2443, 2427, 1283, 770, 4868, 3253, 0, 4, 21, 31, 53, 50, 62, 82, 81, 72, 70, 43, 21, 140, 121, 0, 4
11:09:21, 991.80, 15.21, 15.13, 14.867, 879, 1136, 1837, 1765, 2184, 2626, 2735, 2437, 2360, 1225, 726, 4728, 3269, 0, 4, 21, 30, 51, 49, 61, 81, 79, 69, 68, 43, 21, 139, 114, 0, 4
11:09:21, 991.80, 15.22, 15.13, 14.867, 826, 1055, 1715, 1646, 2045, 2468, 2564, 2292, 2186, 1148, 682, 4514, 3078, 0, 4, 20, 30, 52, 49, 60, 83, 80, 70, 68, 50, 20, 142, 113, 0, 4
11:09:21, 991.70, 15.22, 15.20, 14.867, 729, 966, 1605, 1504, 1874, 2161, 2395, 2150, 1993, 1009, 603, 4052, 2931, 0, 4, 21, 30, 51, 48, 59, 80, 78, 69, 68, 43, 21, 140, 136, 0, 4
11:09:21, 991.80, 15.22, 15.13, 14.867, 706, 868, 1402, 1373, 1722, 2129, 2112, 1901, 1814, 988, 609, 4045, 2679, 0, 4, 23, 32, 54, 52, 64, 86, 83, 73, 73, 45, 23, 150, 109, 0, 4
11:09:22, 991.70, 15.22, 15.13, 14.867, 849, 987, 1440, 1558, 1904, 2519, 2196, 1973, 2080, 1169, 719, 4561, 2821, 0, 4, 27, 37, 60, 59, 73, 97, 91, 81, 82, 49, 27, 171, 111, 0, 4
11:09:22, 991.70, 15.22, 15.13, 14.867, 959, 1170, 1781, 1812, 2216, 2839, 2659, 2379, 2439, 1317, 810, 4969, 3215, 0, 4, 28, 40, 68, 64, 79, 103, 103, 91, 89, 52, 28, 180, 120, 0, 4
11:09:22, 991.90, 15.22, 15.18, 14.836, 1022, 1277, 1959, 1948, 2384, 3009, 2909, 2590, 2617, 1396, 862, 5315, 3453, 0, 4, 29, 42, 71, 67, 83, 106, 109, 96, 93, 53, 29, 185, 124, 0, 4
11:09:23, 991.90, 15.22, 15.11, 14.836, 1040, 1312, 2044, 2020, 2456, 3037, 3018, 2688, 2675, 1414, 879, 5438, 3634, 0, 4, 29, 43, 73, 68, 84, 108, 111, 98, 95, 54, 30, 188, 126, 0, 4
11:09:23, 991.90, 15.22, 15.14, 14.836, 1046, 1320, 2058, 2046, 2478, 3044, 3035, 2709, 2691, 1419, 885, 5488, 3692, 0, 4, 30, 43, 74, 69, 85, 110, 113, 99, 97, 55, 30, 190, 128, 0, 4
11:09:23, 991.70, 15.22, 15.14, 14.820, 1049, 1324, 2063, 2057, 2486, 3050, 3043, 2718, 2699, 1422, 889, 5503, 3722, 0, 4, 30, 44, 75, 70, 86, 110, 114, 100, 97, 55, 30, 191, 128, 0, 4
11:09:24, 991.90, 15.22, 15.14, 14.820, 1051, 1326, 2066, 2062, 2490, 3054, 3048, 2723, 2705, 1424, 891, 5510, 3733, 0, 4, 30, 44, 75, 70, 86, 110, 114, 100, 97, 55, 30, 190, 129, 0, 4
11:09:24, 991.80, 15.22, 15.14, 14.820, 1052, 1329, 2069, 2065, 2492, 3056, 3051, 2726, 2708, 1425, 893, 5512, 3739, 0, 4, 30, 44, 75, 70, 86, 110, 114, 101, 97, 55, 30, 191, 129, 0, 4
11:09:24, 991.80, 15.22, 15.14, 14.820, 1052, 1330, 2069, 2066, 2493, 3057, 3052, 2727, 2711, 1426, 892, 5514, 3741, 0, 4, 30, 44, 75, 70, 86, 110, 114, 101, 98, 55, 30, 191, 129, 0, 4
11:09:24, 991.70, 15.22, 15.14, 14.820, 1052, 1328, 2071, 2066, 2492, 3057, 3054, 2729, 2710, 1426, 893, 5516, 3743, 0, 4, 30, 44, 75, 70, 86, 110, 114, 101, 97, 55, 30, 191, 129, 0, 4
11:09:25, 991.80, 15.22, 15.18, 14.820, 1053, 1330, 2070, 2066, 2493, 3058, 3053, 2728, 2711, 1427, 894, 5517, 3742, 0, 4, 30, 44, 75, 70, 86, 110, 114, 100, 97, 55, 30, 190, 128, 0, 4
11:09:25, 992.00, 15.22, 15.14, 14.820, 1053, 1330, 2070, 2067, 2494, 3059, 3054, 2729, 2712, 1427, 894, 5518, 3744, 0, 4, 30, 44, 75, 70, 86, 110, 114, 100, 97, 55, 30, 190, 128, 0, 4
11:09:25, 991.80, 15.22, 15.14, 14.805, 1054, 1331, 2071, 2069, 2495, 3061, 3055, 2730, 2714, 1428, 895, 5520, 3746, 0, 4, 30, 44, 75, 70, 86, 110, 114, 100, 97, 55, 30, 191, 128, 0, 4
11:09:26, 991.70, 15.22, 15.16, 14.805, 1055, 1332, 2073, 2070, 2496, 3062, 3057, 2732, 2717, 1429, 896, 5523, 3750, 0, 4, 30, 44, 75, 70, 86, 111, 114, 101, 98, 55, 30, 192, 129, 0, 4
11:09:26, 991.70, 15.23, 15.14, 14.805, 1056, 1333, 2074, 2071, 2498, 3065, 3059, 2734, 2720, 1431, 897, 5527, 3752, 0, 4, 30, 44, 75, 70, 86, 111, 114, 101, 98, 55, 30, 192, 129, 0, 4
11:09:26, 991.80, 15.23, 15.18, 14.797, 1056, 1334, 2075, 2072, 2497, 3066, 3061, 2736, 2719, 1431, 898, 5529, 3756, 0, 4, 30, 44, 75, 70, 86, 111, 114, 101, 98, 55, 30, 192, 129, 0, 4
11:09:27, 991.80, 15.23, 15.20, 14.797, 1056, 1335, 2075, 2073, 2499, 3066, 3060, 2735, 2721, 1431, 898, 5529, 3756, 0, 4, 30, 44, 75, 70, 86, 111, 114, 101, 98, 55, 30, 192, 129, 0, 4
11:09:27, 991.90, 15.23, 15.14, 14.797, 1056, 1335, 2076, 2074, 2499, 3065, 3061, 2736, 2722, 1431, 897, 5527, 3757, 0, 4, 30, 44, 75, 70, 86, 111, 114, 101, 98, 55, 30, 192, 129, 0, 4
11:09:27, 992.10, 15.23, 15.16, 14.797, 1056, 1337, 2078, 2077, 2503, 3066, 3066, 2741, 2725, 1431, 898, 5528, 3760, 0, 4, 30, 44, 75, 70, 86, 111, 114, 101, 98, 55, 30, 192, 129, 0, 4
11:09:27, 991.70, 15.23, 15.18, 14.781, 1058, 1335, 2078, 2073, 2499, 3069, 3065, 2740, 2722, 1433, 899, 5534, 3760, 0, 4, 30, 44, 75, 70, 86, 110, 114, 101, 98, 55, 30, 191, 129, 0, 4
11:09:28, 991.70, 15.23, 15.14, 14.781, 1057, 1334, 2079, 2072, 2497, 3066, 3066, 2741, 2720, 1432, 897, 5530, 3761, 0, 4, 30, 44, 75, 70, 86, 110, 114, 101, 97, 55, 30, 191, 129, 0, 4
11:09:28, 991.80, 15.23, 15.20, 14.781, 1054, 1334, 2075, 2070, 2498, 3064, 3061, 2735, 2720, 1430, 895, 5520, 3753, 0, 4, 30, 43, 74, 69, 85, 109, 113, 100, 96, 54, 30, 189, 128, 0, 4
11:09:28, 991.90, 15.23, 15.16, 14.781, 1053, 1332, 2075, 2064, 2493, 3062, 3060, 2733, 2716, 1429, 892, 5502, 3745, 0, 4, 29, 43, 74, 69, 85, 108, 113, 99, 96, 54, 29, 188, 128, 0, 4
11:09:29, 991.80, 15.23, 15.18, 14.781, 1046, 1328, 2072, 2050, 2481, 3056, 3057, 2728, 2709, 1424, 886, 5461, 3726, 0, 4, 29, 42, 73, 68, 83, 106, 111, 98, 94, 53, 29, 184, 127, 0, 4
11:09:29, 991.80, 15.23, 15.18, 14.781, 1030, 1313, 2057, 2019, 2450, 3025, 3038, 2708, 2681, 1406, 869, 5370, 3684, 0, 4, 27, 40, 71, 65, 80, 99, 108, 95, 90, 50, 27, 175, 124, 0, 4
11:09:29, 991.90, 15.23, 15.20, 14.781, 1002, 1284, 2024, 1967, 2396, 2941, 2992, 2667, 2634, 1369, 844, 5162, 3600, 0, 4, 26, 38, 67, 62, 76, 96, 101, 90, 86, 49, 26, 170, 118, 0, 4
11:09:30, 991.90, 15.23, 15.18, 14.758, 970, 1235, 1963, 1890, 2285, 2838, 2897, 2586, 2552, 1322, 820, 4974, 3458, 0, 4, 27, 38, 66, 62, 76, 97, 100, 88, 85, 49, 27, 171, 117, 0, 4
11:09:30, 991.90, 15.23, 15.18, 14.758, 976, 1224, 1919, 1880, 2266, 2857, 2836, 2540, 2538, 1330, 825, 5011, 3409, 0, 4, 26, 38, 66, 61, 75, 95, 101, 89, 85, 49, 26, 168, 118, 0, 4
11:09:30, 991.80, 15.23, 15.18, 14.758, 961, 1228, 1933, 1894, 2291, 2824, 2864, 2563, 2543, 1315, 814, 4973, 3447, 0, 4, 25, 37, 64, 59, 72, 92, 97, 86, 82, 47, 25, 163, 116, 0, 4
11:09:30, 991.90, 15.23, 15.18, 14.750, 910, 1169, 1873, 1813, 2197, 2693, 2784, 2492, 2436, 1252, 773, 4767, 3363, 0, 4, 25, 36, 63, 59, 72, 92, 95, 85, 82, 47, 25, 163, 114, 0, 4
11:09:31, 991.90, 15.23, 15.16, 14.750, 886, 1122, 1791, 1747, 2125, 2628, 2671, 2391, 2352, 1221, 754, 4685, 3238, 0, 4, 25, 36, 63, 59, 72, 92, 96, 85, 81, 47, 25, 162, 114, 0, 4
11:09:31, 991.80, 15.23, 15.21, 14.750, 867, 1102, 1763, 1721, 2093, 2573, 2632, 2357, 2316, 1195, 737, 4606, 3203, 0, 4, 25, 36, 62, 58, 71, 91, 95, 84, 81, 47, 25, 160, 113, 0, 4
11:09:31, 991.90, 15.23, 15.18, 14.750, 871, 1089, 1731, 1708, 2074, 2572, 2583, 2314, 2291, 1198, 740, 4634, 3149, 0, 4, 25, 35, 61, 57, 70, 90, 93, 82, 79, 46, 25, 159, 112, 0, 4
11:09:32, 991.90, 15.23, 15.18, 14.727, 904, 1121, 1755, 1757, 2121, 2650, 2611, 2341, 2352, 1237, 762, 4714, 3196, 0, 4, 25, 36, 61, 58, 71, 91, 94, 83, 80, 47, 25, 161, 112, 0, 4
11:09:32, 991.90, 15.23, 15.20, 14.727, 926, 1153, 1808, 1788, 2165, 2724, 2681, 2405, 2414, 1269, 781, 4789, 3227, 0, 4, 25, 36, 62, 59, 72, 92, 95, 84, 81, 47, 25, 163, 113, 0, 4
11:09:32, 991.90, 15.23, 15.18, 14.727, 936, 1177, 1848, 1812, 2197, 2760, 2739, 2456, 2457, 1284, 790, 4826, 3275, 0, 4, 25, 36, 63, 59, 72, 92, 96, 85, 81, 47, 25, 162, 114, 0, 4
11:09:33, 991.70, 15.23, 15.20, 14.719, 938, 1183, 1863, 1816, 2203, 2771, 2762, 2474, 2467, 1288, 791, 4827, 3294, 0, 4, 25, 36, 62, 58, 72, 91, 95, 84, 81, 47, 25, 161, 113, 0, 4
11:09:33, 991.70, 15.23, 15.20, 14.719, 929, 1178, 1856, 1798, 2185, 2755, 2754, 2465, 2455, 1278, 782, 4770, 3280, 0, 4, 25, 36, 62, 58, 71, 91, 95, 84, 80, 47, 25, 161, 113, 0, 4
11:09:33, 992.00, 15.23, 15.18, 14.719, 923, 1176, 1849, 1784, 2173, 2754, 2743, 2455, 2448, 1274, 774, 4736, 3263, 0, 4, 25, 36, 62, 58, 71, 91, 94, 83, 80, 46, 25, 160, 112, 0, 4
11:09:33, 991.60, 15.23, 15.20, 14.703, 919, 1175, 1851, 1769, 2165, 2754, 2744, 2446, 2433, 1272, 767, 4729, 3247, 0, 4, 25, 37, 62, 59, 72, 94, 95, 83, 81, 48, 26, 165, 112, 0, 4
11:09:34, 992.00, 15.23, 15.23, 14.703, 920, 1178, 1848, 1771, 2174, 2759, 2740, 2436, 2426, 1270, 767, 4753, 3234, 0, 4, 25, 37, 64, 60, 73, 94, 96, 86, 84, 49, 26, 166, 118, 0, 4
11:09:34, 991.90, 15.23, 15.21, 14.703, 912, 1171, 1851, 1761, 2163, 2729, 2743, 2438, 2414, 1254, 761, 4742, 3241, 0, 4, 24, 36, 62, 58, 70, 89, 95, 85, 81, 46, 24, 158, 117, 0, 4
11:09:34, 992.00, 15.23, 15.21, 14.703, 901, 1162, 1837, 1751, 2147, 2686, 2718, 2421, 2388, 1233, 751, 4669, 3221, 0, 4, 23, 34, 58, 55, 67, 92, 90, 80, 80, 45, 24, 155, 112, 0, 4
11:09:35, 991.80, 15.23, 15.18, 14.695, 923, 1164, 1818, 1751, 2151, 2736, 2687, 2396, 2402, 1259, 772, 4785, 3190, 0, 4, 23, 34, 57, 56, 68, 102, 90, 80, 87, 48, 25, 163, 119, 0, 4
11:09:35, 991.80, 15.23, 15.20, 14.695, 970, 1227, 1889, 1862, 2266, 2861, 2780, 2486, 2528, 1315, 820, 5045, 3337, 0, 4, 25, 36, 58, 60, 74, 113, 94, 85, 94, 55, 28, 187, 137, 0, 4
11:09:35, 991.90, 15.23, 15.23, 14.695, 1000, 1261, 1949, 1939, 2332, 2934, 2870, 2570, 2603, 1355, 853, 5231, 3500, 0, 4, 27, 40, 66, 67, 84, 122, 108, 99, 103, 64, 30, 209, 168, 0, 4
11:09:36, 991.60, 15.23, 15.25, 14.688, 1034, 1303, 2001, 2022, 2414, 3001, 2946, 2643, 2687, 1393, 889, 5413, 3645, 0, 4, 28, 41, 70, 69, 86, 121, 116, 105, 105, 63, 30, 209, 181, 0, 4
11:09:36, 992.00, 15.23, 15.20, 14.688, 1022, 1304, 2028, 2033, 2412, 2966, 2982, 2684, 2689, 1379, 880, 5372, 3738, 0, 4, 28, 42, 71, 70, 87, 122, 116, 106, 105, 65, 31, 212, 180, 0, 4
11:09:36, 991.70, 15.23, 15.23, 14.688, 1023, 1293, 1994, 2017, 2390, 2971, 2938, 2646, 2668, 1380, 883, 5381, 3710, 0, 4, 28, 42, 72, 70, 87, 120, 118, 107, 104, 65, 30, 210, 183, 0, 4
11:09:36, 991.70, 15.23, 15.23, 14.688, 1030, 1308, 2015, 2044, 2420, 2976, 2966, 2672, 2698, 1387, 889, 5405, 3744, 0, 4, 29, 42, 71, 70, 87, 123, 116, 106, 103, 67, 31, 213, 182, 0, 4
11:09:37, 991.60, 15.24, 15.21, 14.672, 1022, 1294, 2002, 2022, 2390, 2963, 2948, 2658, 2674, 1378, 884, 5364, 3736, 0, 4, 29, 42, 72, 72, 88, 127, 118, 108, 106, 69, 31, 218, 188, 0, 4
11:09:37, 991.80, 15.23, 15.23, 14.672, 1046, 1317, 2011, 2057, 2427, 3018, 2963, 2670, 2717, 1408, 907, 5447, 3745, 0, 4, 29, 43, 73, 72, 89, 127, 119, 109, 108, 69, 31, 217, 193, 0, 4
11:09:37, 991.70, 15.24, 15.23, 14.672, 1050, 1328, 2042, 2073, 2439, 3027, 3008, 2710, 2740, 1416, 914, 5433, 3792, 0, 4, 29, 43, 73, 72, 89, 128, 119, 109, 110, 70, 32, 219, 195, 0, 4
11:09:38, 991.70, 15.24, 15.25, 14.633, 1065, 1339, 2042, 2085, 2455, 3063, 3009, 2714, 2764, 1432, 930, 5466, 3789, 0, 4, 30, 43, 73, 73, 89, 128, 120, 110, 112, 69, 32, 219, 201, 0, 4
11:09:38, 991.60, 15.24, 15.23, 14.633, 1074, 1361, 2070, 2115, 2488, 3084, 3052, 2757, 2807, 1443, 939, 5480, 3825, 0, 4, 29, 43, 73, 72, 88, 126, 119, 109, 109, 68, 32, 216, 199, 0, 4
11:09:38, 991.70, 15.24, 15.23, 14.633, 1070, 1353, 2070, 2101, 2475, 3071, 3052, 2757, 2797, 1441, 935, 5435, 3821, 0, 4, 29, 43, 72, 72, 88, 125, 117, 108, 108, 67, 31, 214, 196, 0, 4
11:09:39, 991.70, 15.24, 15.20, 14.633, 1079, 1362, 2071, 2112, 2488, 3093, 3051, 2756, 2814, 1450, 945, 5471, 3813, 0, 4, 29, 42, 72, 72, 87, 124, 117, 107, 107, 67, 31, 212, 193, 0, 4
11:09:39, 991.60, 15.24, 15.26, 14.578, 1074, 1364, 2083, 2112, 2488, 3081, 3068, 2773, 2816, 1444, 939, 5434, 3829, 0, 4, 29, 42, 72, 71, 87, 123, 116, 107, 106, 67, 31, 212, 191, 0, 4
11:09:39, 991.70, 15.24, 15.26, 14.578, 1067, 1352, 2066, 2094, 2468, 3067, 3043, 2751, 2795, 1434, 933, 5422, 3798, 0, 4, 29, 42, 71, 71, 86, 121, 116, 106, 105, 66, 31, 210, 190, 0, 4
11:09:39, 991.80, 15.24, 15.26, 14.578, 1064, 1351, 2062, 2094, 2465, 3052, 3038, 2748, 2794, 1429, 929, 5401, 3793, 0, 4, 29, 41, 70, 70, 85, 121, 114, 104, 105, 67, 30, 211, 189, 0, 4
11:09:40, 991.90, 15.23, 15.25, 14.531, 1065, 1346, 2056, 2083, 2457, 3057, 3026, 2733, 2782, 1429, 930, 5394, 3775, 0, 4, 29, 41, 71, 69, 85, 120, 114, 104, 104, 67, 30, 208, 195, 0, 4
11:09:40, 991.70, 15.24, 15.25, 14.531, 1072, 1356, 2064, 2095, 2475, 3076, 3037, 2747, 2801, 1440, 936, 5423, 3781, 0, 4, 28, 40, 69, 67, 81, 114, 112, 102, 100, 61, 29, 200, 191, 0, 4
