Secchi Depth (cm) = 0300
Forel Ule Scale = 17
pH Colour Scale = 99
SensingSecchi S/N = A012
Latitude (degs N) = 56.49084
Longitude (degs E) = -5.14329
Date = 2026-05-29
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, Temp (deg C) 10KTHERM, Temp (deg C) TMP117, ED 405nm, ED 425nm, ED 450nm, ED 475nm, ED 515nm, ED 550nm, ED 555nm, ED 600nm, ED 640nm, ED 690nm, ED 745nm, ED Clear, ED NIR 855nm, ED D-SAT, ED A-SAT, EU 405nm, EU 425nm, EU 450nm, EU 475nm, EU 515nm, EU 550nm, EU 555nm, EU 600nm, EU 640nm, EU 690nm, EU 745nm, EU Clear, EU NIR 855nm, EU D-SAT, EU A-SAT
10:30:25, 1004.90, 13.37, 13.58, 12.492, 232, 292, 466, 442, 536, 616, 661, 580, 570, 257, 184, 1146, 646, 0, 0, 116, 168, 287, 261, 318, 377, 417, 359, 347, 167, 111, 677, 384, 0, 0
10:30:25, 1005.20, 13.38, 13.58, 12.500, 231, 291, 465, 441, 535, 614, 660, 579, 569, 256, 183, 1141, 646, 0, 0, 116, 168, 286, 261, 318, 377, 416, 359, 347, 167, 111, 677, 383, 0, 0
10:30:26, 1005.10, 13.38, 13.58, 12.500, 231, 290, 463, 440, 534, 613, 657, 577, 567, 256, 183, 1141, 643, 0, 0, 116, 168, 286, 260, 318, 376, 416, 359, 346, 167, 111, 675, 383, 0, 0
10:30:26, 1005.00, 13.39, 13.60, 12.500, 231, 290, 463, 439, 533, 613, 657, 577, 566, 255, 183, 1140, 643, 0, 0, 115, 167, 285, 259, 315, 373, 414, 357, 344, 165, 110, 670, 381, 0, 0
10:30:26, 1005.00, 13.39, 13.60, 12.500, 231, 290, 463, 439, 533, 612, 656, 576, 566, 255, 182, 1139, 642, 0, 0, 114, 165, 282, 256, 313, 369, 410, 354, 340, 164, 109, 664, 378, 0, 0
10:30:27, 1004.80, 13.39, 13.58, 12.500, 230, 290, 462, 438, 532, 611, 656, 576, 565, 255, 182, 1136, 641, 0, 0, 113, 164, 280, 254, 310, 367, 407, 351, 338, 163, 108, 659, 376, 0, 0
10:30:27, 1005.10, 13.39, 13.55, 12.500, 229, 288, 461, 436, 530, 608, 654, 574, 563, 254, 181, 1131, 640, 0, 0, 113, 163, 278, 253, 308, 366, 404, 349, 336, 163, 108, 659, 374, 0, 0
10:30:27, 1005.00, 13.39, 13.60, 12.508, 228, 287, 458, 434, 527, 605, 650, 570, 559, 252, 180, 1127, 637, 0, 0, 113, 164, 279, 254, 310, 368, 405, 349, 338, 163, 108, 660, 374, 0, 0
10:30:28, 1005.00, 13.40, 13.58, 12.508, 229, 287, 457, 434, 527, 606, 648, 569, 559, 253, 180, 1129, 635, 0, 0, 113, 164, 279, 254, 310, 367, 406, 349, 337, 163, 108, 657, 374, 0, 0
10:30:28, 1005.00, 13.40, 13.58, 12.508, 229, 288, 458, 436, 529, 607, 650, 570, 560, 253, 181, 1132, 637, 0, 0, 111, 162, 277, 251, 306, 361, 403, 347, 334, 161, 106, 644, 372, 0, 0
10:30:28, 1005.00, 13.40, 13.56, 12.508, 228, 286, 457, 434, 527, 601, 649, 570, 557, 252, 179, 1125, 637, 0, 0, 108, 157, 271, 242, 296, 349, 393, 339, 324, 155, 103, 623, 365, 0, 0
10:30:28, 1004.90, 13.40, 13.62, 12.508, 224, 282, 454, 429, 521, 586, 644, 565, 548, 247, 177, 1113, 633, 0, 0, 105, 153, 263, 236, 288, 342, 381, 329, 315, 152, 101, 610, 354, 0, 0
10:30:29, 1005.40, 13.40, 13.58, 12.508, 221, 276, 447, 423, 512, 575, 631, 556, 535, 243, 174, 1102, 626, 0, 0, 106, 152, 259, 235, 287, 344, 377, 325, 314, 153, 101, 612, 350, 0, 0
10:30:29, 1005.10, 13.40, 13.58, 12.508, 222, 275, 442, 422, 510, 576, 626, 551, 533, 244, 174, 1105, 625, 0, 0, 108, 155, 263, 240, 293, 350, 381, 328, 319, 156, 103, 626, 354, 0, 0
10:30:29, 1005.00, 13.40, 13.58, 12.508, 224, 278, 445, 425, 515, 587, 629, 553, 539, 247, 176, 1111, 626, 0, 0, 110, 159, 268, 245, 299, 358, 389, 335, 326, 159, 105, 641, 363, 0, 0
10:30:30, 1005.00, 13.40, 13.63, 12.508, 224, 281, 450, 427, 519, 592, 637, 559, 546, 248, 177, 1110, 627, 0, 0, 111, 160, 272, 248, 303, 360, 395, 341, 330, 160, 106, 647, 366, 0, 0
10:30:30, 1004.90, 13.40, 13.60, 12.508, 223, 281, 448, 425, 517, 591, 636, 558, 545, 247, 176, 1108, 625, 0, 0, 112, 161, 274, 250, 305, 363, 398, 343, 332, 161, 107, 651, 368, 0, 0
10:30:30, 1005.10, 13.40, 13.63, 12.508, 224, 281, 448, 426, 518, 593, 635, 557, 546, 247, 176, 1111, 625, 0, 0, 112, 162, 275, 251, 307, 364, 400, 345, 334, 162, 107, 654, 370, 0, 0
10:30:31, 1004.90, 13.40, 13.63, 12.508, 224, 281, 449, 427, 519, 594, 636, 558, 547, 248, 177, 1113, 626, 0, 0, 112, 162, 276, 252, 308, 365, 402, 346, 335, 162, 108, 655, 371, 0, 0
10:30:31, 1005.00, 13.40, 13.62, 12.508, 223, 281, 449, 426, 519, 592, 636, 559, 546, 247, 176, 1110, 627, 0, 0, 112, 162, 276, 252, 308, 365, 402, 346, 335, 162, 108, 656, 372, 0, 0
10:30:31, 1005.00, 13.40, 13.62, 12.508, 222, 280, 447, 424, 516, 590, 634, 556, 544, 246, 175, 1105, 624, 0, 0, 112, 162, 276, 252, 308, 364, 402, 347, 335, 162, 108, 656, 373, 0, 0
10:30:31, 1004.90, 13.40, 13.62, 12.508, 222, 279, 445, 423, 515, 589, 631, 554, 543, 246, 175, 1104, 622, 0, 0, 112, 162, 276, 252, 307, 363, 401, 346, 334, 161, 107, 654, 372, 0, 0
10:30:32, 1005.10, 13.40, 13.63, 12.508, 221, 279, 445, 422, 514, 587, 631, 553, 542, 245, 175, 1101, 622, 0, 0, 111, 162, 275, 251, 306, 362, 400, 345, 333, 161, 107, 652, 371, 0, 0
10:30:32, 1005.10, 13.40, 13.62, 12.508, 220, 277, 443, 421, 512, 584, 628, 551, 538, 244, 174, 1096, 619, 0, 0, 111, 161, 275, 251, 306, 362, 400, 344, 332, 161, 107, 652, 371, 0, 0
10:30:32, 1004.90, 13.40, 13.63, 12.508, 220, 276, 441, 420, 511, 583, 625, 549, 537, 243, 174, 1095, 617, 0, 0, 111, 161, 274, 250, 306, 361, 399, 344, 332, 161, 107, 651, 370, 0, 0
10:30:33, 1005.10, 13.40, 13.65, 12.500, 220, 277, 441, 420, 511, 583, 625, 549, 537, 243, 174, 1096, 617, 0, 0, 111, 161, 274, 250, 305, 361, 399, 343, 331, 161, 107, 650, 370, 0, 0
10:30:33, 1005.00, 13.40, 13.60, 12.500, 220, 276, 441, 420, 510, 582, 625, 549, 536, 242, 173, 1095, 617, 0, 0, 111, 161, 274, 250, 305, 361, 398, 343, 332, 160, 107, 649, 369, 0, 0
10:30:33, 1005.00, 13.40, 13.63, 12.500, 219, 275, 439, 419, 509, 579, 623, 547, 534, 241, 173, 1093, 616, 0, 0, 111, 161, 273, 250, 305, 362, 398, 343, 332, 160, 107, 650, 369, 0, 0
10:30:34, 1005.10, 13.40, 13.62, 12.508, 219, 275, 438, 419, 509, 579, 621, 546, 533, 241, 173, 1093, 615, 0, 0, 111, 161, 273, 250, 305, 362, 398, 343, 332, 161, 107, 650, 369, 0, 0
10:30:34, 1005.20, 13.40, 13.65, 12.508, 219, 275, 439, 419, 509, 580, 622, 545, 534, 242, 173, 1095, 616, 0, 0, 111, 161, 274, 250, 305, 362, 399, 343, 332, 161, 107, 650, 369, 0, 0
10:30:34, 1004.80, 13.40, 13.65, 12.508, 219, 276, 439, 420, 510, 580, 622, 547, 534, 242, 173, 1095, 617, 0, 0, 111, 161, 274, 250, 305, 361, 399, 343, 332, 160, 107, 648, 369, 0, 0
10:30:34, 1005.00, 13.40, 13.62, 12.508, 219, 275, 439, 419, 509, 579, 622, 547, 534, 241, 173, 1094, 617, 0, 0, 111, 160, 273, 249, 304, 360, 397, 342, 331, 160, 106, 646, 368, 0, 0
10:30:35, 1004.90, 13.40, 13.67, 12.508, 218, 275, 438, 418, 508, 576, 621, 545, 532, 240, 172, 1091, 616, 0, 0, 110, 160, 272, 248, 303, 359, 396, 341, 330, 159, 106, 645, 367, 0, 0
10:30:35, 1005.00, 13.40, 13.65, 12.508, 218, 273, 436, 417, 506, 574, 618, 543, 530, 239, 172, 1087, 613, 0, 0, 110, 160, 272, 248, 303, 359, 395, 340, 330, 159, 106, 644, 367, 0, 0
10:30:35, 1005.00, 13.40, 13.67, 12.508, 218, 273, 435, 416, 505, 574, 616, 542, 529, 239, 172, 1087, 611, 0, 0, 110, 160, 271, 248, 303, 359, 395, 340, 329, 159, 106, 644, 366, 0, 0
10:30:36, 1005.20, 13.40, 13.67, 12.508, 217, 273, 435, 416, 505, 574, 617, 542, 529, 239, 172, 1086, 612, 0, 0, 110, 160, 271, 248, 302, 358, 395, 340, 329, 159, 106, 643, 366, 0, 0
10:30:36, 1005.00, 13.40, 13.63, 12.508, 217, 273, 435, 416, 504, 572, 616, 541, 528, 238, 171, 1084, 611, 0, 0, 110, 159, 271, 247, 302, 358, 394, 339, 328, 159, 105, 641, 365, 0, 0
10:30:36, 1005.10, 13.40, 13.63, 12.508, 217, 271, 434, 415, 503, 571, 614, 539, 527, 238, 171, 1082, 610, 0, 0, 109, 159, 270, 247, 301, 357, 393, 339, 327, 158, 105, 640, 364, 0, 0
10:30:37, 1004.90, 13.40, 13.67, 12.508, 216, 271, 433, 414, 502, 569, 613, 539, 525, 237, 170, 1078, 608, 0, 0, 109, 158, 269, 246, 300, 356, 392, 337, 327, 158, 105, 638, 363, 0, 0
10:30:37, 1005.20, 13.40, 13.65, 12.508, 216, 271, 431, 413, 501, 568, 611, 537, 524, 237, 170, 1076, 606, 0, 0, 109, 158, 269, 246, 300, 356, 392, 337, 326, 158, 105, 638, 363, 0, 0
10:30:37, 1005.10, 13.40, 13.65, 12.508, 216, 271, 431, 413, 501, 569, 611, 537, 524, 237, 170, 1078, 606, 0, 0, 109, 158, 269, 246, 300, 356, 392, 337, 326, 158, 105, 638, 363, 0, 0
10:30:37, 1005.10, 13.40, 13.67, 12.508, 216, 271, 432, 413, 501, 569, 612, 538, 524, 237, 170, 1077, 606, 0, 0, 109, 158, 269, 246, 299, 355, 391, 337, 326, 157, 104, 636, 362, 0, 0
10:30:38, 1005.00, 13.40, 13.65, 12.500, 215, 270, 431, 412, 500, 567, 611, 537, 523, 236, 170, 1074, 605, 0, 0, 109, 158, 268, 245, 299, 354, 390, 336, 325, 157, 104, 635, 362, 0, 0
10:30:38, 1005.30, 13.40, 13.68, 12.500, 215, 270, 430, 411, 499, 566, 609, 535, 522, 236, 169, 1071, 603, 0, 0, 109, 157, 267, 245, 299, 354, 390, 335, 325, 157, 104, 634, 361, 0, 0
10:30:38, 1005.00, 13.40, 13.68, 12.500, 215, 269, 429, 411, 498, 565, 608, 534, 521, 235, 169, 1069, 602, 0, 0, 108, 157, 267, 245, 298, 354, 389, 335, 324, 157, 104, 633, 361, 0, 0
10:30:39, 1005.00, 13.40, 13.65, 12.508, 215, 269, 429, 411, 498, 565, 608, 534, 520, 236, 169, 1070, 601, 0, 0, 108, 157, 267, 244, 298, 353, 389, 335, 324, 156, 104, 633, 360, 0, 0
10:30:39, 1004.90, 13.40, 13.68, 12.508, 215, 270, 428, 411, 499, 565, 608, 534, 521, 236, 169, 1070, 602, 0, 0, 108, 157, 266, 244, 297, 352, 388, 334, 323, 156, 104, 631, 360, 0, 0
10:30:39, 1005.10, 13.40, 13.68, 12.508, 214, 269, 429, 410, 498, 564, 607, 534, 520, 235, 169, 1066, 601, 0, 0, 108, 157, 266, 243, 297, 351, 387, 333, 322, 156, 103, 630, 358, 0, 0
10:30:40, 1005.20, 13.40, 13.63, 12.508, 214, 268, 427, 408, 496, 562, 606, 532, 518, 234, 168, 1062, 598, 0, 0, 108, 156, 266, 243, 296, 351, 386, 333, 322, 155, 103, 629, 358, 0, 0
10:30:40, 1005.00, 13.40, 13.65, 12.516, 214, 268, 427, 409, 496, 564, 605, 531, 518, 235, 168, 1064, 597, 0, 0, 107, 156, 265, 243, 296, 350, 386, 332, 321, 155, 103, 627, 358, 0, 0
10:30:40, 1005.30, 13.40, 13.68, 12.516, 214, 269, 428, 409, 497, 564, 607, 533, 519, 235, 168, 1063, 598, 0, 0, 107, 155, 264, 241, 294, 347, 384, 331, 319, 154, 102, 624, 357, 0, 0
10:30:40, 1005.20, 13.40, 13.68, 12.516, 214, 268, 428, 408, 496, 562, 606, 532, 518, 234, 168, 1059, 597, 0, 0, 106, 154, 262, 240, 292, 345, 381, 328, 317, 153, 102, 621, 354, 0, 0
10:30:41, 1005.10, 13.41, 13.67, 12.508, 213, 267, 426, 406, 494, 561, 604, 530, 517, 234, 168, 1056, 594, 0, 0, 106, 154, 261, 239, 292, 345, 380, 327, 316, 153, 102, 620, 353, 0, 0
10:30:41, 1005.10, 13.40, 13.67, 12.508, 213, 268, 426, 406, 494, 562, 604, 530, 517, 234, 168, 1057, 593, 0, 0, 106, 153, 261, 239, 291, 344, 379, 327, 315, 153, 101, 619, 353, 0, 0
10:30:41, 1004.90, 13.41, 13.68, 12.508, 214, 268, 427, 407, 495, 562, 605, 531, 518, 234, 168, 1058, 594, 0, 0, 105, 153, 260, 238, 291, 343, 378, 326, 315, 152, 101, 617, 353, 0, 0
10:30:42, 1005.10, 13.40, 13.70, 12.508, 214, 268, 427, 407, 495, 563, 605, 531, 518, 235, 168, 1059, 595, 0, 0, 104, 151, 258, 236, 289, 340, 376, 324, 312, 151, 101, 613, 352, 0, 0
10:30:42, 1005.00, 13.40, 13.68, 12.508, 214, 268, 427, 407, 495, 562, 605, 531, 518, 235, 168, 1058, 594, 0, 0, 104, 151, 257, 236, 288, 340, 375, 323, 312, 151, 100, 612, 351, 0, 0
10:30:42, 1005.10, 13.40, 13.68, 12.508, 214, 268, 427, 407, 495, 562, 605, 531, 518, 234, 168, 1058, 594, 0, 0, 105, 152, 257, 236, 289, 341, 375, 323, 312, 152, 101, 614, 351, 0, 0
10:30:43, 1004.90, 13.40, 13.68, 12.508, 214, 268, 427, 407, 495, 562, 605, 531, 518, 234, 168, 1058, 594, 0, 0, 105, 152, 258, 237, 289, 342, 376, 324, 313, 152, 101, 616, 351, 0, 0
