Secchi Depth (cm) = 0353
Forel Ule Scale = 16
pH Colour Scale = 99
SensingSecchi S/N = A012
Latitude (degs N) = 56.45444
Longitude (degs E) = -5.19068
Date = 2026-05-29
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, Temp (deg C) 10KTHERM, Temp (deg C) TMP117, ED 405nm, ED 425nm, ED 450nm, ED 475nm, ED 515nm, ED 550nm, ED 555nm, ED 600nm, ED 640nm, ED 690nm, ED 745nm, ED Clear, ED NIR 855nm, ED D-SAT, ED A-SAT, EU 405nm, EU 425nm, EU 450nm, EU 475nm, EU 515nm, EU 550nm, EU 555nm, EU 600nm, EU 640nm, EU 690nm, EU 745nm, EU Clear, EU NIR 855nm, EU D-SAT, EU A-SAT
07:46:41, 1004.80, 14.50, 14.57, 13.406, 295, 381, 614, 596, 731, 946, 917, 823, 829, 447, 254, 1637, 1179, 0, 1, 141, 206, 354, 351, 439, 590, 565, 501, 506, 305, 152, 1039, 809, 0, 0
07:46:41, 1005.00, 14.51, 14.59, 13.406, 296, 382, 614, 598, 732, 949, 917, 823, 831, 448, 255, 1645, 1181, 0, 1, 141, 207, 355, 352, 441, 592, 567, 503, 508, 306, 152, 1043, 813, 0, 0
07:46:42, 1004.90, 14.51, 14.55, 13.406, 297, 384, 617, 602, 735, 952, 921, 827, 836, 449, 257, 1657, 1190, 0, 1, 141, 207, 356, 353, 442, 594, 569, 505, 510, 307, 153, 1046, 816, 0, 0
07:46:42, 1005.00, 14.52, 14.57, 13.406, 298, 386, 619, 605, 739, 954, 924, 831, 839, 450, 258, 1664, 1199, 0, 1, 141, 208, 357, 354, 443, 595, 570, 506, 511, 307, 153, 1047, 818, 0, 0
07:46:42, 1005.10, 14.52, 14.52, 13.398, 299, 387, 621, 607, 741, 955, 926, 833, 841, 451, 258, 1668, 1204, 0, 1, 141, 208, 357, 354, 443, 595, 570, 506, 511, 307, 153, 1046, 818, 0, 0
07:46:43, 1004.80, 14.52, 14.54, 13.398, 299, 387, 621, 608, 741, 955, 927, 834, 842, 451, 258, 1669, 1206, 0, 1, 141, 208, 357, 354, 443, 594, 570, 506, 510, 307, 153, 1046, 817, 0, 0
07:46:43, 1004.80, 14.53, 14.57, 13.398, 298, 387, 621, 607, 741, 954, 926, 834, 841, 450, 258, 1667, 1206, 0, 1, 141, 207, 357, 353, 442, 593, 569, 506, 510, 307, 152, 1045, 817, 0, 0
07:46:43, 1004.90, 14.52, 14.57, 13.398, 298, 386, 620, 606, 739, 952, 925, 832, 839, 449, 257, 1663, 1203, 0, 1, 141, 207, 356, 353, 442, 592, 569, 505, 509, 306, 152, 1042, 816, 0, 0
07:46:43, 1004.80, 14.53, 14.55, 13.398, 297, 385, 619, 605, 738, 950, 923, 830, 837, 449, 257, 1659, 1200, 0, 1, 141, 207, 356, 352, 441, 592, 568, 504, 508, 306, 152, 1042, 814, 0, 0
07:46:44, 1005.00, 14.53, 14.59, 13.398, 297, 385, 618, 604, 737, 950, 922, 829, 837, 449, 257, 1660, 1199, 0, 1, 141, 207, 356, 352, 441, 591, 568, 504, 508, 306, 152, 1041, 814, 0, 0
07:46:44, 1005.00, 14.53, 14.59, 13.406, 298, 385, 619, 605, 739, 951, 923, 830, 838, 449, 257, 1662, 1201, 0, 1, 140, 206, 355, 351, 440, 589, 566, 503, 507, 305, 151, 1038, 812, 0, 0
07:46:44, 1004.80, 14.53, 14.57, 13.406, 296, 384, 618, 603, 737, 948, 922, 829, 835, 448, 256, 1653, 1200, 0, 1, 140, 205, 354, 350, 439, 586, 564, 501, 505, 302, 151, 1034, 809, 0, 0
07:46:45, 1004.80, 14.53, 14.55, 13.406, 295, 382, 615, 598, 732, 942, 918, 824, 830, 446, 254, 1639, 1189, 0, 1, 139, 205, 353, 349, 437, 584, 562, 499, 502, 302, 150, 1030, 806, 0, 0
07:46:45, 1004.70, 14.53, 14.61, 13.406, 293, 380, 612, 594, 727, 939, 912, 819, 825, 444, 252, 1629, 1180, 0, 1, 139, 204, 351, 348, 436, 584, 560, 497, 500, 302, 150, 1028, 803, 0, 0
07:46:45, 1005.00, 14.53, 14.57, 13.398, 294, 380, 610, 594, 728, 941, 910, 817, 824, 445, 253, 1635, 1175, 0, 1, 139, 205, 352, 348, 436, 584, 561, 498, 502, 303, 150, 1024, 804, 0, 0
07:46:46, 1005.00, 14.53, 14.57, 13.398, 296, 382, 613, 600, 733, 945, 914, 821, 830, 447, 255, 1653, 1185, 0, 1, 138, 203, 351, 345, 432, 580, 558, 496, 499, 301, 149, 1016, 801, 0, 0
07:46:46, 1005.00, 14.53, 14.57, 13.398, 297, 384, 616, 603, 736, 946, 918, 826, 833, 448, 256, 1658, 1196, 0, 1, 138, 203, 349, 344, 430, 576, 556, 494, 497, 300, 148, 1012, 799, 0, 0
07:46:46, 1004.90, 14.53, 14.57, 13.406, 296, 383, 616, 603, 735, 944, 918, 826, 832, 447, 255, 1654, 1198, 0, 1, 134, 199, 344, 338, 421, 560, 549, 488, 488, 292, 144, 985, 795, 0, 0
07:46:47, 1004.80, 14.53, 14.57, 13.406, 295, 382, 615, 600, 732, 941, 916, 824, 829, 445, 254, 1644, 1192, 0, 1, 131, 193, 334, 328, 408, 547, 532, 473, 473, 285, 141, 962, 773, 0, 0
07:46:47, 1005.00, 14.53, 14.59, 13.406, 294, 380, 612, 596, 728, 938, 912, 820, 825, 444, 253, 1633, 1185, 0, 1, 128, 189, 327, 322, 402, 536, 521, 463, 465, 280, 138, 946, 758, 0, 0
07:46:47, 1004.80, 14.53, 14.62, 13.406, 293, 379, 610, 593, 726, 936, 909, 817, 823, 443, 252, 1625, 1177, 0, 1, 125, 185, 320, 315, 393, 523, 510, 453, 455, 274, 135, 925, 746, 0, 0
07:46:47, 1004.80, 14.53, 14.59, 13.391, 293, 378, 609, 591, 723, 933, 907, 815, 821, 442, 251, 1620, 1172, 0, 1, 118, 176, 309, 301, 374, 498, 491, 438, 433, 263, 127, 878, 731, 0, 0
07:46:48, 1005.00, 14.53, 14.62, 13.391, 291, 377, 607, 589, 719, 927, 905, 812, 818, 439, 250, 1609, 1168, 0, 1, 107, 163, 287, 278, 346, 470, 457, 408, 402, 255, 115, 813, 698, 0, 0
07:46:48, 1004.80, 14.54, 14.57, 13.391, 286, 372, 603, 580, 707, 911, 897, 806, 809, 432, 246, 1569, 1159, 0, 1, 95, 144, 256, 248, 309, 436, 411, 370, 365, 244, 103, 745, 674, 0, 0
07:46:48, 1004.80, 14.53, 14.54, 13.391, 274, 361, 589, 557, 679, 872, 877, 788, 786, 415, 235, 1477, 1123, 0, 1, 89, 132, 230, 229, 286, 407, 372, 335, 333, 226, 97, 701, 629, 0, 0
07:46:49, 1005.00, 14.54, 14.57, 13.391, 253, 332, 554, 512, 624, 807, 825, 741, 731, 387, 217, 1348, 1043, 0, 0, 88, 129, 220, 223, 279, 403, 355, 319, 323, 224, 96, 696, 601, 0, 0
07:46:49, 1004.80, 14.54, 14.61, 13.391, 256, 322, 515, 493, 604, 819, 770, 692, 708, 392, 219, 1362, 969, 0, 1, 92, 132, 223, 228, 286, 417, 360, 322, 330, 231, 100, 719, 602, 0, 0
07:46:49, 1005.00, 14.54, 14.62, 13.391, 273, 345, 544, 528, 646, 873, 811, 728, 755, 415, 234, 1465, 1015, 0, 1, 101, 142, 236, 245, 306, 453, 381, 342, 359, 250, 109, 775, 630, 0, 0
07:46:50, 1004.80, 14.54, 14.61, 13.398, 289, 368, 581, 571, 696, 917, 864, 776, 799, 436, 248, 1594, 1100, 0, 1, 109, 157, 263, 268, 334, 462, 421, 377, 389, 243, 118, 812, 652, 0, 0
07:46:50, 1004.90, 14.53, 14.59, 13.398, 294, 378, 605, 594, 724, 934, 901, 810, 820, 443, 253, 1640, 1172, 0, 1, 113, 164, 277, 277, 345, 476, 442, 395, 404, 250, 121, 829, 665, 0, 0
07:46:50, 1004.90, 14.53, 14.61, 13.398, 296, 382, 612, 601, 732, 940, 911, 820, 828, 445, 255, 1656, 1192, 0, 1, 117, 169, 288, 285, 356, 490, 458, 408, 416, 257, 125, 852, 677, 0, 0
07:46:50, 1004.90, 14.53, 14.55, 13.398, 297, 383, 615, 605, 736, 941, 916, 824, 832, 446, 256, 1661, 1201, 0, 1, 120, 174, 297, 295, 368, 503, 472, 420, 428, 264, 129, 875, 695, 0, 0
07:46:51, 1004.90, 14.53, 14.57, 13.398, 296, 379, 612, 600, 727, 933, 911, 822, 824, 443, 255, 1656, 1199, 0, 1, 120, 176, 303, 297, 371, 504, 481, 428, 432, 264, 129, 878, 708, 0, 0
07:46:51, 1004.90, 14.53, 14.62, 13.398, 297, 382, 613, 604, 734, 940, 913, 823, 829, 446, 256, 1663, 1203, 0, 1, 119, 175, 302, 295, 369, 499, 480, 426, 429, 262, 128, 869, 707, 0, 0
07:46:51, 1005.10, 14.54, 14.61, 13.398, 297, 383, 615, 605, 734, 939, 915, 825, 830, 445, 256, 1662, 1204, 0, 1, 116, 171, 297, 289, 361, 489, 472, 420, 421, 256, 124, 850, 698, 0, 0
07:46:52, 1005.00, 14.54, 14.64, 13.398, 289, 377, 613, 598, 723, 909, 912, 822, 820, 433, 250, 1614, 1202, 0, 1, 111, 164, 287, 280, 348, 481, 457, 408, 407, 256, 120, 838, 685, 0, 0
07:46:52, 1004.70, 14.53, 14.59, 13.398, 268, 359, 589, 567, 684, 853, 879, 795, 789, 407, 233, 1498, 1164, 0, 0, 101, 156, 274, 265, 330, 452, 438, 393, 390, 245, 110, 777, 708, 0, 0
07:46:52, 1004.80, 14.54, 14.62, 13.398, 215, 299, 513, 476, 572, 692, 772, 701, 665, 330, 189, 1216, 1040, 0, 0, 89, 136, 241, 237, 293, 511, 396, 360, 373, 326, 100, 779, 752, 0, 0
07:46:53, 1004.90, 14.54, 14.57, 13.398, 138, 215, 397, 342, 411, 457, 603, 552, 484, 219, 123, 795, 836, 0, 0, 88, 130, 214, 228, 284, 477, 361, 332, 353, 293, 98, 762, 872, 0, 0
07:46:53, 1005.00, 14.54, 14.61, 13.398, 74, 124, 231, 200, 236, 268, 355, 326, 281, 120, 70, 463, 521, 0, 0, 86, 129, 214, 225, 284, 465, 361, 330, 347, 284, 96, 751, 841, 0, 0
07:46:53, 1005.00, 14.54, 14.62, 13.398, 62, 89, 137, 147, 169, 229, 213, 199, 207, 103, 59, 392, 345, 0, 0, 86, 126, 211, 221, 280, 458, 355, 323, 340, 278, 94, 741, 808, 0, 0
07:46:53, 1004.70, 14.54, 14.59, 13.383, 53, 76, 119, 127, 147, 205, 186, 174, 181, 93, 52, 346, 313, 0, 0, 89, 129, 211, 225, 285, 479, 356, 323, 347, 293, 98, 769, 802, 0, 0
07:46:54, 1004.90, 14.54, 14.59, 13.383, 64, 83, 111, 138, 158, 237, 173, 163, 197, 104, 61, 403, 298, 0, 0, 92, 135, 222, 236, 294, 515, 373, 341, 367, 322, 103, 797, 863, 0, 0
