Secchi Depth (cm) = 0297
Forel Ule Scale = 18
pH Colour Scale = 99
SensingSecchi S/N = A012
Latitude (degs N) = 56.52838
Longitude (degs E) = -5.09968
Date = 2026-05-29
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, Temp (deg C) 10KTHERM, Temp (deg C) TMP117, ED 405nm, ED 425nm, ED 450nm, ED 475nm, ED 515nm, ED 550nm, ED 555nm, ED 600nm, ED 640nm, ED 690nm, ED 745nm, ED Clear, ED NIR 855nm, ED D-SAT, ED A-SAT, EU 405nm, EU 425nm, EU 450nm, EU 475nm, EU 515nm, EU 550nm, EU 555nm, EU 600nm, EU 640nm, EU 690nm, EU 745nm, EU Clear, EU NIR 855nm, EU D-SAT, EU A-SAT
09:39:30, 1003.70, 13.75, 13.81, 13.023, 301, 390, 620, 605, 744, 892, 906, 807, 809, 384, 253, 1621, 1007, 0, 1, 117, 171, 278, 294, 347, 633, 439, 408, 458, 480, 121, 1006, 1186, 0, 0
09:39:30, 1003.80, 13.76, 13.79, 13.023, 299, 388, 616, 601, 738, 886, 901, 803, 804, 382, 251, 1611, 1002, 0, 1, 116, 171, 286, 298, 356, 639, 455, 423, 472, 460, 121, 1020, 1152, 0, 0
09:39:31, 1003.90, 13.77, 13.82, 13.023, 299, 386, 613, 599, 735, 885, 897, 798, 800, 382, 251, 1609, 998, 0, 1, 107, 160, 278, 285, 337, 605, 453, 425, 466, 442, 112, 979, 1140, 0, 0
09:39:31, 1003.80, 13.77, 13.82, 13.023, 301, 388, 614, 601, 738, 889, 899, 799, 803, 383, 252, 1616, 998, 0, 1, 107, 154, 252, 277, 328, 597, 419, 391, 434, 443, 110, 976, 1150, 0, 0
09:39:31, 1003.80, 13.78, 13.82, 13.023, 301, 388, 616, 602, 740, 892, 901, 801, 805, 384, 252, 1619, 1000, 0, 1, 112, 160, 256, 286, 336, 624, 425, 393, 446, 466, 116, 1020, 1188, 0, 0
09:39:32, 1003.90, 13.78, 13.84, 13.023, 302, 390, 618, 605, 742, 894, 904, 804, 808, 385, 253, 1622, 1003, 0, 1, 116, 169, 269, 299, 351, 650, 444, 410, 472, 482, 121, 1045, 1238, 0, 0
09:39:32, 1003.80, 13.78, 13.86, 13.023, 301, 390, 619, 604, 742, 892, 905, 806, 808, 384, 253, 1620, 1004, 0, 1, 122, 177, 283, 309, 362, 657, 460, 428, 491, 479, 128, 1064, 1251, 0, 0
09:39:32, 1003.90, 13.78, 13.81, 13.023, 299, 388, 617, 601, 738, 884, 902, 804, 804, 381, 251, 1609, 1003, 0, 1, 120, 181, 303, 313, 369, 627, 480, 449, 488, 453, 124, 1027, 1245, 0, 0
09:39:33, 1003.60, 13.78, 13.84, 13.023, 295, 384, 612, 595, 729, 873, 894, 797, 796, 377, 248, 1588, 996, 0, 1, 118, 173, 286, 300, 356, 631, 458, 425, 470, 451, 123, 1023, 1189, 0, 0
09:39:33, 1004.00, 13.78, 13.81, 13.023, 298, 383, 606, 594, 728, 880, 886, 790, 795, 379, 250, 1600, 989, 0, 1, 120, 176, 288, 304, 361, 640, 463, 430, 478, 461, 126, 1034, 1204, 0, 0
09:39:33, 1003.60, 13.78, 13.86, 13.023, 297, 384, 611, 595, 729, 878, 892, 796, 796, 379, 249, 1596, 992, 0, 1, 123, 181, 298, 315, 369, 665, 476, 445, 493, 482, 131, 1061, 1240, 0, 0
