Secchi Depth (cm) = 0285
Forel Ule Scale = 19
pH Colour Scale = 99
SensingSecchi S/N = A012
Latitude (degs N) = 56.46843
Longitude (degs E) = -5.16756
Date = 2026-06-01
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, Temp (deg C) 10KTHERM, Temp (deg C) TMP117, ED 405nm, ED 425nm, ED 450nm, ED 475nm, ED 515nm, ED 550nm, ED 555nm, ED 600nm, ED 640nm, ED 690nm, ED 745nm, ED Clear, ED NIR 855nm, ED D-SAT, ED GAINS, EU 405nm, EU 425nm, EU 450nm, EU 475nm, EU 515nm, EU 550nm, EU 555nm, EU 600nm, EU 640nm, EU 690nm, EU 745nm, EU Clear, EU NIR 855nm, EU D-SAT, EU GAINS
10:15:10, 991.50, 14.57, 14.43, 13.430, 1192, 1525, 2319, 2388, 2866, 3596, 3488, 3138, 3235, 1655, 1103, 6167, 4174, 0, 4, 28, 40, 69, 69, 85, 128, 110, 101, 102, 79, 29, 216, 205, 0, 4
10:15:10, 991.50, 14.58, 14.47, 13.422, 1193, 1523, 2315, 2385, 2862, 3601, 3483, 3134, 3232, 1655, 1104, 6167, 4167, 0, 4, 29, 40, 68, 70, 85, 134, 110, 101, 103, 85, 30, 227, 205, 0, 4
10:15:11, 991.40, 14.58, 14.38, 13.422, 1199, 1531, 2321, 2397, 2873, 3615, 3492, 3143, 3247, 1664, 1111, 6189, 4176, 0, 4, 29, 41, 71, 71, 87, 133, 114, 105, 105, 82, 30, 223, 223, 0, 4
10:15:11, 991.40, 14.59, 14.40, 13.422, 1194, 1530, 2328, 2395, 2874, 3605, 3499, 3149, 3246, 1659, 1106, 6168, 4187, 0, 4, 28, 41, 70, 71, 86, 129, 113, 104, 105, 80, 30, 221, 219, 0, 4
10:15:11, 991.40, 14.59, 14.42, 13.414, 1189, 1522, 2317, 2384, 2862, 3598, 3484, 3134, 3228, 1653, 1101, 6149, 4167, 0, 4, 28, 40, 70, 70, 86, 131, 112, 103, 104, 80, 30, 223, 212, 0, 4
10:15:12, 991.50, 14.59, 14.42, 13.414, 1197, 1528, 2315, 2392, 2869, 3614, 3481, 3132, 3241, 1662, 1109, 6177, 4161, 0, 4, 28, 41, 70, 71, 87, 133, 113, 105, 106, 83, 30, 226, 222, 0, 4
10:15:12, 991.50, 14.60, 14.40, 13.414, 1198, 1533, 2328, 2399, 2877, 3616, 3499, 3148, 3251, 1664, 1110, 6181, 4186, 0, 4, 28, 41, 70, 71, 86, 128, 113, 104, 104, 77, 30, 220, 221, 0, 4
10:15:12, 991.20, 14.60, 14.42, 13.414, 1192, 1526, 2324, 2390, 2866, 3602, 3493, 3143, 3239, 1656, 1103, 6157, 4181, 0, 4, 28, 40, 69, 70, 85, 126, 111, 103, 103, 76, 30, 217, 208, 0, 4
10:15:13, 991.30, 14.60, 14.43, 13.406, 1191, 1525, 2317, 2388, 2864, 3601, 3482, 3133, 3236, 1654, 1102, 6154, 4169, 0, 4, 28, 40, 69, 70, 85, 127, 111, 102, 103, 77, 30, 218, 206, 0, 4
10:15:13, 991.30, 14.60, 14.43, 13.406, 1192, 1522, 2312, 2383, 2862, 3602, 3476, 3127, 3231, 1657, 1104, 6157, 4154, 0, 4, 28, 40, 69, 70, 85, 127, 111, 102, 104, 76, 30, 218, 208, 0, 4
10:15:13, 991.10, 14.60, 14.43, 13.406, 1187, 1522, 2317, 2382, 2859, 3592, 3483, 3133, 3233, 1650, 1098, 6143, 4173, 0, 4, 29, 41, 69, 70, 86, 128, 111, 102, 104, 76, 30, 222, 209, 0, 4
10:15:13, 991.30, 14.60, 14.42, 13.398, 1177, 1509, 2303, 2362, 2840, 3567, 3462, 3114, 3205, 1636, 1087, 6104, 4133, 0, 4, 29, 41, 71, 71, 88, 127, 113, 104, 105, 74, 30, 225, 210, 0, 4
10:15:14, 991.50, 14.60, 14.45, 13.398, 1176, 1504, 2292, 2359, 2832, 3562, 3445, 3100, 3200, 1634, 1086, 6109, 4129, 0, 4, 29, 41, 71, 71, 88, 126, 113, 104, 105, 72, 30, 224, 205, 0, 4
10:15:14, 991.30, 14.60, 14.42, 13.398, 1177, 1503, 2292, 2358, 2830, 3563, 3444, 3100, 3198, 1631, 1090, 6116, 4115, 0, 4, 29, 41, 70, 71, 87, 125, 114, 104, 105, 69, 30, 219, 202, 0, 4
10:15:14, 991.40, 14.60, 14.43, 13.398, 1175, 1515, 2302, 2373, 2842, 3562, 3462, 3119, 3224, 1628, 1089, 6109, 4148, 0, 4, 28, 41, 69, 69, 86, 124, 111, 101, 103, 68, 29, 215, 190, 0, 4
10:15:15, 991.30, 14.60, 14.47, 13.391, 1165, 1493, 2285, 2345, 2813, 3540, 3430, 3097, 3181, 1617, 1078, 6074, 4091, 0, 4, 28, 41, 69, 70, 86, 124, 111, 101, 104, 68, 30, 216, 190, 0, 4
10:15:15, 991.40, 14.60, 14.48, 13.391, 1185, 1512, 2288, 2371, 2841, 3585, 3442, 3099, 3214, 1646, 1098, 6137, 4118, 0, 4, 28, 40, 69, 69, 86, 124, 111, 101, 104, 69, 30, 218, 191, 0, 4
10:15:15, 991.30, 14.60, 14.47, 13.391, 1190, 1522, 2309, 2387, 2860, 3600, 3472, 3129, 3236, 1651, 1104, 6153, 4151, 0, 4, 28, 40, 69, 70, 86, 125, 111, 102, 104, 72, 30, 223, 200, 0, 4
10:15:16, 991.30, 14.61, 14.43, 13.383, 1197, 1528, 2320, 2392, 2862, 3605, 3486, 3141, 3244, 1663, 1108, 6166, 4177, 0, 4, 28, 40, 69, 70, 86, 124, 113, 103, 104, 71, 30, 220, 209, 0, 4
10:15:16, 991.30, 14.61, 14.47, 13.383, 1192, 1523, 2317, 2385, 2857, 3599, 3485, 3139, 3233, 1658, 1103, 6161, 4194, 0, 4, 28, 40, 69, 69, 86, 124, 112, 102, 103, 70, 30, 220, 204, 0, 4
10:15:16, 991.20, 14.61, 14.42, 13.383, 1181, 1513, 2309, 2370, 2847, 3575, 3470, 3123, 3212, 1643, 1091, 6119, 4159, 0, 4, 28, 40, 69, 70, 86, 124, 112, 102, 104, 71, 30, 221, 207, 0, 4
10:15:16, 991.20, 14.60, 14.48, 13.383, 1184, 1512, 2299, 2368, 2839, 3575, 3457, 3111, 3214, 1645, 1094, 6132, 4148, 0, 4, 28, 40, 69, 69, 86, 124, 112, 102, 104, 69, 30, 219, 204, 0, 4
10:15:17, 991.60, 14.61, 14.47, 13.375, 1177, 1510, 2299, 2364, 2839, 3559, 3456, 3109, 3208, 1633, 1087, 6104, 4146, 0, 4, 28, 40, 69, 70, 86, 124, 112, 102, 104, 68, 29, 216, 197, 0, 4
10:15:17, 991.50, 14.61, 14.43, 13.375, 1163, 1493, 2286, 2341, 2813, 3526, 3437, 3094, 3175, 1615, 1073, 6060, 4110, 0, 4, 27, 39, 67, 68, 84, 120, 110, 99, 101, 64, 29, 207, 185, 0, 4
10:15:17, 991.00, 14.61, 14.45, 13.375, 1163, 1488, 2269, 2336, 2804, 3524, 3413, 3074, 3170, 1610, 1075, 6062, 4085, 0, 4, 27, 39, 66, 67, 82, 117, 108, 98, 100, 60, 29, 200, 169, 0, 4
10:15:18, 991.30, 14.60, 14.47, 13.375, 1165, 1495, 2285, 2349, 2810, 3528, 3423, 3098, 3184, 1611, 1080, 6067, 4094, 0, 4, 27, 38, 65, 66, 81, 114, 107, 97, 98, 57, 29, 194, 161, 0, 4
10:15:18, 991.40, 14.61, 14.48, 13.375, 1161, 1490, 2276, 2338, 2797, 3519, 3411, 3091, 3176, 1607, 1077, 6057, 4083, 0, 4, 27, 38, 66, 65, 79, 112, 106, 98, 98, 54, 29, 189, 151, 0, 4
10:15:18, 991.30, 14.61, 14.47, 13.375, 1138, 1471, 2263, 2312, 2771, 3470, 3391, 3074, 3144, 1574, 1052, 5997, 4053, 0, 4, 27, 38, 66, 64, 78, 112, 105, 98, 98, 55, 28, 189, 145, 0, 4
10:15:19, 991.40, 14.60, 14.48, 13.375, 1155, 1474, 2247, 2315, 2773, 3513, 3366, 3051, 3146, 1599, 1069, 6039, 4012, 0, 4, 26, 38, 65, 64, 79, 113, 105, 97, 98, 56, 29, 190, 149, 0, 4
10:15:19, 991.60, 14.61, 14.47, 13.375, 1174, 1500, 2271, 2349, 2817, 3559, 3415, 3079, 3195, 1632, 1087, 6091, 4084, 0, 4, 26, 38, 65, 64, 78, 112, 106, 97, 99, 54, 28, 186, 149, 0, 4
10:15:19, 991.30, 14.61, 14.50, 13.375, 1175, 1506, 2289, 2357, 2828, 3566, 3443, 3101, 3203, 1635, 1087, 6093, 4129, 0, 4, 26, 37, 64, 63, 77, 109, 105, 96, 98, 52, 28, 183, 143, 0, 4
10:15:19, 991.40, 14.61, 14.48, 13.375, 1187, 1512, 2293, 2368, 2837, 3588, 3446, 3103, 3214, 1651, 1098, 6131, 4133, 0, 4, 26, 37, 64, 61, 75, 106, 103, 94, 96, 49, 27, 179, 136, 0, 4
10:15:20, 991.40, 14.61, 14.47, 13.359, 1181, 1520, 2307, 2381, 2851, 3580, 3464, 3123, 3229, 1642, 1094, 6110, 4168, 0, 4, 25, 37, 64, 61, 75, 105, 102, 94, 95, 48, 27, 177, 131, 0, 4
10:15:20, 991.30, 14.61, 14.45, 13.359, 1174, 1503, 2291, 2354, 2830, 3568, 3445, 3099, 3193, 1634, 1086, 6091, 4106, 0, 4, 25, 37, 63, 60, 74, 104, 100, 92, 93, 48, 27, 176, 131, 0, 4
10:15:20, 991.30, 14.61, 14.48, 13.359, 1175, 1506, 2293, 2362, 2830, 3566, 3444, 3103, 3204, 1635, 1086, 6095, 4130, 0, 4, 25, 37, 62, 60, 73, 102, 100, 92, 93, 47, 26, 175, 130, 0, 4
10:15:21, 991.40, 14.61, 14.50, 13.359, 1160, 1494, 2281, 2341, 2814, 3531, 3430, 3087, 3176, 1613, 1072, 6045, 4100, 0, 4, 25, 36, 62, 60, 73, 102, 99, 91, 92, 47, 26, 174, 129, 0, 4
10:15:21, 991.50, 14.61, 14.52, 13.359, 1153, 1483, 2266, 2325, 2794, 3513, 3405, 3064, 3158, 1604, 1064, 6016, 4062, 0, 4, 25, 36, 62, 60, 73, 102, 98, 91, 92, 46, 26, 174, 128, 0, 4
10:15:21, 991.30, 14.61, 14.47, 13.359, 1142, 1471, 2250, 2309, 2775, 3481, 3381, 3044, 3134, 1584, 1054, 5988, 4039, 0, 4, 25, 36, 62, 59, 72, 101, 98, 91, 91, 46, 26, 172, 127, 0, 4
10:15:22, 991.40, 14.61, 14.50, 13.359, 1137, 1462, 2242, 2297, 2760, 3467, 3364, 3036, 3122, 1576, 1050, 5973, 4016, 0, 4, 25, 36, 61, 59, 72, 100, 97, 90, 90, 46, 26, 172, 126, 0, 4
10:15:22, 991.30, 14.61, 14.50, 13.359, 1141, 1462, 2232, 2295, 2753, 3474, 3347, 3025, 3123, 1580, 1054, 5984, 4001, 0, 4, 25, 35, 61, 58, 72, 98, 97, 89, 88, 44, 25, 169, 122, 0, 4
10:15:22, 991.40, 14.61, 14.48, 13.359, 1141, 1470, 2249, 2309, 2768, 3474, 3370, 3049, 3139, 1580, 1054, 5984, 4026, 0, 4, 24, 35, 59, 57, 71, 98, 95, 86, 86, 44, 25, 168, 117, 0, 4
10:15:22, 991.50, 14.61, 14.48, 13.359, 1144, 1467, 2246, 2303, 2764, 3483, 3367, 3045, 3131, 1586, 1057, 5994, 4021, 0, 4, 25, 35, 59, 58, 71, 98, 95, 86, 86, 44, 25, 169, 117, 0, 4
10:15:23, 991.40, 14.61, 14.47, 13.359, 1160, 1483, 2256, 2326, 2787, 3517, 3386, 3058, 3160, 1607, 1074, 6048, 4046, 0, 4, 24, 35, 59, 58, 72, 100, 95, 87, 87, 45, 25, 170, 118, 0, 4
10:15:23, 991.40, 14.61, 14.48, 13.359, 1149, 1484, 2277, 2327, 2788, 3488, 3416, 3089, 3162, 1589, 1062, 6012, 4088, 0, 4, 24, 35, 60, 58, 72, 102, 96, 88, 89, 47, 26, 172, 122, 0, 4
10:15:23, 991.30, 14.61, 14.52, 13.359, 1134, 1459, 2245, 2287, 2745, 3445, 3368, 3047, 3114, 1572, 1044, 5954, 4030, 0, 4, 24, 35, 61, 59, 73, 103, 97, 90, 90, 48, 26, 173, 129, 0, 4
10:15:24, 991.40, 14.61, 14.48, 13.359, 1134, 1457, 2230, 2285, 2738, 3445, 3349, 3028, 3112, 1570, 1046, 5955, 4024, 0, 4, 24, 35, 61, 59, 73, 103, 97, 90, 90, 48, 26, 171, 129, 0, 4
10:15:24, 991.30, 14.61, 14.50, 13.359, 1123, 1452, 2232, 2277, 2731, 3422, 3345, 3034, 3104, 1558, 1035, 5918, 4019, 0, 4, 24, 35, 60, 56, 71, 100, 96, 88, 87, 45, 25, 164, 124, 0, 4
10:15:24, 991.30, 14.61, 14.55, 13.359, 1131, 1449, 2213, 2272, 2725, 3450, 3320, 3011, 3101, 1570, 1044, 5960, 3993, 0, 4, 24, 34, 58, 56, 69, 97, 94, 85, 85, 43, 24, 159, 112, 0, 4
10:15:25, 991.30, 14.61, 14.50, 13.359, 1141, 1469, 2243, 2305, 2760, 3479, 3364, 3047, 3144, 1581, 1054, 6015, 4051, 0, 4, 24, 34, 57, 55, 69, 98, 92, 83, 84, 43, 24, 159, 106, 0, 4
